edge_id,scope,quote,origin,locator,evidence_file,extraction_call,review_call,role_audit_call
0846aef69b1efa33f32c625d,method,public int lastIndexOf(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/15ddd5a5ff0c096f5ff4.txt,,,
cb40ad6ebe2a92fa2db752d0,type,class java.util.AbstractList<E> extends java.util.AbstractCollection<E> implements java.util.List<E> {,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/15ddd5a5ff0c096f5ff4.txt,,,
7c869e3fe8b1b8e5d74ad2ff,method,"public boolean addAll(int, java.util.Collection<? extends E>);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/15ddd5a5ff0c096f5ff4.txt,,,
5d913adda7e86e53bbf9b494,method,"public java.util.List<E> subList(int, int);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/15ddd5a5ff0c096f5ff4.txt,,,
6b7e602f91b46f21bccb8f15,type,class java.util.AbstractList<E> extends java.util.AbstractCollection<E> implements java.util.List<E> {,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/15ddd5a5ff0c096f5ff4.txt,,,
f0b2317ac4c684c246172a3f,method,public java.util.ListIterator<E> listIterator();,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/15ddd5a5ff0c096f5ff4.txt,,,
f0b2317ac4c684c246172a3f,method,public java.util.ListIterator<E> listIterator(int);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/15ddd5a5ff0c096f5ff4.txt,,,
66a271e9dd53e7d09572467a,method,public V get(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/f43930135541db6725e7.txt,,,
66a271e9dd53e7d09572467a,method,public V remove(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/f43930135541db6725e7.txt,,,
66a271e9dd53e7d09572467a,method,public boolean containsKey(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/f43930135541db6725e7.txt,,,
